"Title","Link","Published Date","Description"
"Ungarn-Gelder: EU-Parlament bereitet Klage gegen Kommission vor","https://www.derstandard.at/story/3000000203708/ungarn-gelder-eu-parlament-bereitet-klage-gegen-kommission-vor?ref=rss","Thu Jan 18 16:14:08 CET 2024","Im Streit um die Freigabe von EU-Geldern für Ungarn bereitet das Europaparlament eine Klage gegen die EU-Kommission vor dem Europäischen Gerichtshof vor. Der Rechtsausschuss des Parlaments solle ""sobald wie möglich die nötigen Schritte"" einleiten, heißt es in einer in Straßburg beschlossenen Entschließung"
"Pakistan greift ""Terroristenverstecke"" im Iran an","https://www.derstandard.at/story/3000000203644/pakistan-greift-terroristenverstecke-im-iran-an?ref=rss","Thu Jan 18 11:23:50 CET 2024","Nach einem iranischen Angriff auf sein Territorium hat Pakistan seinerseits das Nachbarland attackiert. Das iranische Staatsfernsehen berichtet von sieben Toten. Der pakistanischen Regierung zufolge waren Stellungen von Terroristen Ziel der Attacke"
"Kämpfe im Nahostkrieg gehen weiter – Hamas meldet 90 Tote","https://www.derstandard.at/story/3000000203709/kaempfe-im-nahostkrieg-gehen-weiter--hamas-meldet-90-tote?ref=rss","Thu Jan 18 16:18:56 CET 2024","Im Gazastreifen sind nach Angaben der dort herrschenden islamistischen Hamas bei nächtlichen israelischen Luftangriffen mehr als 90 Menschen getötet worden. Auch in Khan Younis sowie weiteren Orten im Zentrum des Gazastreifens habe es massiven Beschuss gegeben, hieß es weiter"
"Gewalt in Ecuador eskaliert: Staatsanwalt ermordet","https://www.derstandard.at/story/3000000203659/gewalt-in-ecuador-eskaliert-staatsanwalt-ermordet?ref=rss","Thu Jan 18 12:39:46 CET 2024","Der brutale Machtkampf zwischen Drogenkartellen und der Regierung in Ecuador hat eine neue Eskalationsstufe erreicht: Der Staatsanwalt, der die Ermittlungen zu einer großen Geiselnahme in einem Fernsehstudio leitete, ist ermordet worden. César Suárez wurde in der Hafenstadt Guayaquil in seinem Auto getötet"
"Graz darf alles","https://www.derstandard.at/story/3000000203551/graz-darf-alles?ref=rss","Thu Jan 18 08:00:00 CET 2024","Wie die Deportationsfantasien der ""arischen Jugend"" neue Ziele definieren"
"Wie mein Hund in eine rechte Tiktok-Bubble geriet","https://www.derstandard.at/story/3000000203563/wie-mein-hund-in-eine-rechte-tiktok-bubble-geriet?ref=rss","Thu Jan 18 09:00:00 CET 2024","Gigi D'Agostinos 90er-Hit ""L'amour toujours"" erlebt ein Revival dank Algorithmus und rassistischer Parolen. Solchen Dynamiken im sozialen Netzwerk wird man mit Gesetzen nicht beikommen"
"Mit der AfD ist Herbert Kickl in schlechter Gesellschaft","https://www.derstandard.at/story/3000000203541/mit-der-afd-ist-herbert-kickl-in-schlechter-gesellschaft?ref=rss","Thu Jan 18 06:00:00 CET 2024","Die FPÖ unterscheidet sich immer noch von den deutschen Rechtsextremisten, aber der Parteichef nähert sich ihnen in seiner Rhetorik an. Das ist ein Grund zur Sorge"
"Warum ist die Inflation in Österreich so hoch?","https://www.derstandard.at/story/3000000203559/warum-ist-die-inflation-in-oesterreich-so-hoch?ref=rss","Wed Jan 17 18:27:38 CET 2024","Die Vermutung liegt nahe, dass auch der österreichische Weg ""Wenn's einegeht"" eine Rolle spielt"
"Die Schnitzelprämie für Dorfgasthäuser ist der falsche Rettungsring","https://www.derstandard.at/story/3000000203557/die-schnitzelpraemie-fuer-dorfgasthaeuser-ist-der-falsche-rettungsring?ref=rss","Wed Jan 17 19:00:00 CET 2024","Die Wirtshäuser werden als gesellschaftlicher Treffpunkt auf dem Land benötigt. Aber die Einschränkung auf traditionelle Küche ist kontraproduktiv"
"Mehr Geld fürs Land, um den Populismus zu bekämpfen","https://www.derstandard.at/story/3000000203440/mehr-geld-fuers-land-um-den-populismus-zu-bekaempfen?ref=rss","Thu Jan 18 11:00:00 CET 2024","Die Polarisierung zwischen Stadt und Land beeinflusst das Wahlverhalten. Sie zu überwinden sollte am Beispiel Großbritannien eine nationale Kraftanstrengung sein"
"Der FPÖ-Finanzskandal ist doch nicht nur eine Grazer Sache","https://www.derstandard.at/story/3000000203576/der-fpoe-finanzskandal-ist-doch-nicht-nur-eine-grazer-sache?ref=rss","Wed Jan 17 18:00:19 CET 2024","Ein Aktenvermerk verweist auf Ermittlungen gegen ""Verantwortliche in der FPÖ Steiermark"". Das wirft auch kein gutes Licht auf die Arbeit der Staatsanwaltschaft"
"Der Einsellner","https://www.derstandard.at/story/2000131912423/rudi-klein-der-lochgott?ref=rss","Tue Dec 14 18:00:05 CET 2021","Cartoons von Rudi Klein"
"Wlazny zapft o'","https://www.derstandard.at/story/3000000201628/prognose-superwahljahr-2024?ref=rss","Tue Jan 02 17:55:24 CET 2024","Die Galerie des Monats Jänner"
"Wie der Krieg das Leben dominiert","https://www.derstandard.at/story/3000000203159/wie-der-krieg-das-leben-dominiert?ref=rss","Thu Jan 18 15:17:57 CET 2024","Die Zivilgesellschaft mobilisiert Geld, kocht Essen fürs Militär, hilft der Nachbarschaft und engagiert sich politisch-aktivistisch für Reformen"
"Österreichisches GmbH-Gesetz: Was bei Notfällen beachtet werden muss","https://www.derstandard.at/story/3000000203391/oesterreichisches-gmbh-gesetz-was-bei-notfaellen-beachtet-werden-muss?ref=rss","Thu Jan 18 09:55:26 CET 2024","Mit der Bestellung von Notgeschäftsführern sind häufig komplexe rechtliche Fragestellungen verbunden. Dies hat sich auch in der Covid-19-Pandemie gezeigt"
"Forum+ EU: Wasserknappheit und warum Erdbeeren mitschuldig sind","https://www.derstandard.at/jetzt/livebericht/3000000189606/eu-forum?ref=rss","Tue Oct 03 14:23:53 CEST 2023","Krieg, Klima, digitaler Wandel und bald 30 Mitglieder? Europa wählt 2024, und es gibt sehr viel zu diskutieren. Jeden Dienstag und Donnerstag ein neues Thema"
"Quiz: Zehn Fragen an Ihr Allgemeinwissen!","https://www.derstandard.at/story/3000000203132/quiz-zehn-fragen-an-ihr-allgemeinwissen?ref=rss","Wed Jan 17 07:00:00 CET 2024","Fragen zu dem Rockefeller Center, Filmen und chemischen Elementen"
"Die Gesellschaft muss der rechtsextremen Lawine etwas entgegensetzen","https://www.derstandard.at/story/3000000203152/die-gesellschaft-muss-der-rechtsextremen-lawine-etwas-entgegensetzen?ref=rss","Wed Jan 17 10:00:00 CET 2024","Es geht um all jene, die wie Sellner konkrete faschistische Pläne haben. Aber es geht auch um jene, die deren unglaubliches Treiben verharmlosen und kleinreden"
